order_number,date (OG),warehouse,client_type,product_line,quantity,unit_price,total,payment,payment_fee,date,year,month,date,months_name
N37,2021-06-11T00:00:00.000Z,North,Retail,Suspension & traction,6,41.09,246.52,Credit card,0.03,2021-06-11,2021,06,11,June
N38,2021-06-11T00:00:00.000Z,North,Wholesale,Miscellaneous,24,21.42,514,Transfer,0.01,2021-06-11,2021,06,11,June
N39,2021-06-11T00:00:00.000Z,North,Retail,Frame & body,4,47.06,188.22,Credit card,0.03,2021-06-11,2021,06,11,June
N40,2021-06-12T00:00:00.000Z,North,Retail,Breaking system,10,13.24,132.37,Credit card,0.03,2021-06-12,2021,06,12,June
N41,2021-06-12T00:00:00.000Z,North,Retail,Breaking system,9,11.67,105.02,Credit card,0.03,2021-06-12,2021,06,12,June
N42,2021-06-12T00:00:00.000Z,North,Retail,Suspension & traction,10,39.78,397.78,Credit card,0.03,2021-06-12,2021,06,12,June
N43,2021-06-13T00:00:00.000Z,North,Retail,Electrical system,9,23.27,209.43,Credit card,0.03,2021-06-13,2021,06,13,June
N44,2021-06-13T00:00:00.000Z,North,Retail,Frame & body,7,40.93,286.51,Credit card,0.03,2021-06-13,2021,06,13,June
N45,2021-06-13T00:00:00.000Z,North,Retail,Suspension & traction,3,38.5,115.5,Credit card,0.03,2021-06-13,2021,06,13,June
N46,2021-06-13T00:00:00.000Z,North,Retail,Suspension & traction,6,28.91,173.46,Cash,0,2021-06-13,2021,06,13,June
N47,2021-06-14T00:00:00.000Z,North,Retail,Breaking system,10,17.67,176.73,Credit card,0.03,2021-06-14,2021,06,14,June
N48,2021-06-14T00:00:00.000Z,North,Wholesale,Breaking system,20,24.45,489,Transfer,0.01,2021-06-14,2021,06,14,June
N49,2021-06-15T00:00:00.000Z,North,Retail,Frame & body,7,36.52,255.62,Credit card,0.03,2021-06-15,2021,06,15,June
N50,2021-06-15T00:00:00.000Z,North,Retail,Electrical system,9,26.81,241.32,Credit card,0.03,2021-06-15,2021,06,15,June
N51,2021-06-15T00:00:00.000Z,North,Wholesale,Suspension & traction,36,39.87,1435.26,Transfer,0.01,2021-06-15,2021,06,15,June
N52,2021-06-15T00:00:00.000Z,North,Retail,Suspension & traction,6,26.9,161.43,Credit card,0.03,2021-06-15,2021,06,15,June
N53,2021-06-15T00:00:00.000Z,North,Retail,Breaking system,2,22.3,44.59,Credit card,0.03,2021-06-15,2021,06,15,June
N54,2021-06-16T00:00:00.000Z,North,Wholesale,Suspension & traction,40,35.59,1423.73,Transfer,0.01,2021-06-16,2021,06,16,June
N55,2021-06-16T00:00:00.000Z,North,Retail,Frame & body,2,48.86,97.73,Credit card,0.03,2021-06-16,2021,06,16,June
N56,2021-06-17T00:00:00.000Z,North,Retail,Miscellaneous,10,26.87,268.68,Cash,0,2021-06-17,2021,06,17,June
N57,2021-06-17T00:00:00.000Z,North,Retail,Frame & body,3,37.62,112.85,Credit card,0.03,2021-06-17,2021,06,17,June
N58,2021-06-17T00:00:00.000Z,North,Retail,Frame & body,7,43.15,302.06,Cash,0,2021-06-17,2021,06,17,June
N59,2021-06-17T00:00:00.000Z,North,Retail,Suspension & traction,6,28.59,171.52,Credit card,0.03,2021-06-17,2021,06,17,June
N60,2021-06-18T00:00:00.000Z,North,Wholesale,Frame & body,24,48.18,1156.24,Transfer,0.01,2021-06-18,2021,06,18,June
N61,2021-06-18T00:00:00.000Z,North,Wholesale,Breaking system,12,23.02,276.3,Transfer,0.01,2021-06-18,2021,06,18,June
N62,2021-06-18T00:00:00.000Z,North,Retail,Suspension & traction,5,29.38,146.93,Credit card,0.03,2021-06-18,2021,06,18,June
N63,2021-06-18T00:00:00.000Z,North,Retail,Suspension & traction,9,28.23,254.04,Credit card,0.03,2021-06-18,2021,06,18,June
N64,2021-06-19T00:00:00.000Z,North,Wholesale,Frame & body,16,44.54,712.69,Transfer,0.01,2021-06-19,2021,06,19,June
N65,2021-06-19T00:00:00.000Z,North,Retail,Breaking system,6,24.85,149.1,Credit card,0.03,2021-06-19,2021,06,19,June
N66,2021-06-19T00:00:00.000Z,North,Retail,Suspension & traction,10,32.61,326.13,Credit card,0.03,2021-06-19,2021,06,19,June
N67,2021-06-19T00:00:00.000Z,North,Retail,Miscellaneous,8,18.98,151.84,Credit card,0.03,2021-06-19,2021,06,19,June
N68,2021-06-19T00:00:00.000Z,North,Retail,Frame & body,10,44.03,440.32,Cash,0,2021-06-19,2021,06,19,June
N69,2021-06-19T00:00:00.000Z,North,Retail,Suspension & traction,9,34.68,312.1,Credit card,0.03,2021-06-19,2021,06,19,June
N70,2021-06-19T00:00:00.000Z,North,Retail,Miscellaneous,6,21.88,131.28,Credit card,0.03,2021-06-19,2021,06,19,June
N71,2021-06-19T00:00:00.000Z,North,Wholesale,Suspension & traction,12,26.99,323.88,Transfer,0.01,2021-06-19,2021,06,19,June
N72,2021-06-20T00:00:00.000Z,North,Wholesale,Breaking system,32,18.98,607.36,Transfer,0.01,2021-06-20,2021,06,20,June
N73,2021-06-20T00:00:00.000Z,North,Retail,Suspension & traction,10,37.06,370.58,Credit card,0.03,2021-06-20,2021,06,20,June
N74,2021-06-20T00:00:00.000Z,North,Wholesale,Electrical system,16,25.92,414.67,Transfer,0.01,2021-06-20,2021,06,20,June
N75,2021-06-20T00:00:00.000Z,North,Retail,Frame & body,2,48.86,97.71,Cash,0,2021-06-20,2021,06,20,June
N76,2021-06-21T00:00:00.000Z,North,Retail,Miscellaneous,3,22.45,67.34,Credit card,0.03,2021-06-21,2021,06,21,June
N77,2021-06-21T00:00:00.000Z,North,Retail,Electrical system,7,25.53,178.7,Cash,0,2021-06-21,2021,06,21,June
N78,2021-06-21T00:00:00.000Z,North,Retail,Suspension & traction,6,37.99,227.95,Credit card,0.03,2021-06-21,2021,06,21,June
N79,2021-06-21T00:00:00.000Z,North,Wholesale,Breaking system,8,14.39,115.15,Transfer,0.01,2021-06-21,2021,06,21,June
N80,2021-06-21T00:00:00.000Z,North,Retail,Suspension & traction,6,37.2,223.22,Credit card,0.03,2021-06-21,2021,06,21,June
N81,2021-06-22T00:00:00.000Z,North,Retail,Suspension & traction,3,30.11,90.34,Credit card,0.03,2021-06-22,2021,06,22,June
N82,2021-06-22T00:00:00.000Z,North,Retail,Suspension & traction,9,37.44,337,Credit card,0.03,2021-06-22,2021,06,22,June
N83,2021-06-23T00:00:00.000Z,North,Retail,Miscellaneous,9,21.27,191.44,Credit card,0.03,2021-06-23,2021,06,23,June
N84,2021-06-23T00:00:00.000Z,North,Retail,Suspension & traction,6,36.01,216.06,Credit card,0.03,2021-06-23,2021,06,23,June
N85,2021-06-23T00:00:00.000Z,North,Retail,Engine,5,65.99,329.96,Cash,0,2021-06-23,2021,06,23,June
N86,2021-06-23T00:00:00.000Z,North,Retail,Breaking system,1,13.44,13.44,Credit card,0.03,2021-06-23,2021,06,23,June
N87,2021-06-23T00:00:00.000Z,North,Retail,Miscellaneous,6,29.76,178.53,Credit card,0.03,2021-06-23,2021,06,23,June
N88,2021-06-23T00:00:00.000Z,North,Retail,Engine,4,59.69,238.77,Credit card,0.03,2021-06-23,2021,06,23,June
N89,2021-06-23T00:00:00.000Z,North,Retail,Breaking system,5,11.32,56.62,Cash,0,2021-06-23,2021,06,23,June
N90,2021-06-24T00:00:00.000Z,North,Retail,Breaking system,8,22.78,182.24,Credit card,0.03,2021-06-24,2021,06,24,June
N91,2021-06-24T00:00:00.000Z,North,Retail,Frame & body,10,46.46,464.62,Credit card,0.03,2021-06-24,2021,06,24,June
N92,2021-06-24T00:00:00.000Z,North,Wholesale,Electrical system,32,24.77,792.64,Transfer,0.01,2021-06-24,2021,06,24,June
N93,2021-06-24T00:00:00.000Z,North,Retail,Electrical system,8,18.43,147.41,Credit card,0.03,2021-06-24,2021,06,24,June
N94,2021-06-24T00:00:00.000Z,North,Retail,Electrical system,5,29.58,147.92,Credit card,0.03,2021-06-24,2021,06,24,June
N95,2021-06-25T00:00:00.000Z,North,Wholesale,Frame & body,16,40.01,640.13,Transfer,0.01,2021-06-25,2021,06,25,June
N96,2021-06-25T00:00:00.000Z,North,Retail,Suspension & traction,4,35,140.01,Cash,0,2021-06-25,2021,06,25,June
N97,2021-06-25T00:00:00.000Z,North,Retail,Breaking system,1,20.68,20.68,Cash,0,2021-06-25,2021,06,25,June
N98,2021-06-25T00:00:00.000Z,North,Retail,Suspension & traction,9,29.37,264.34,Credit card,0.03,2021-06-25,2021,06,25,June
N99,2021-06-25T00:00:00.000Z,North,Wholesale,Suspension & traction,12,33.88,406.6,Transfer,0.01,2021-06-25,2021,06,25,June
N100,2021-06-26T00:00:00.000Z,North,Retail,Breaking system,1,11.89,11.89,Credit card,0.03,2021-06-26,2021,06,26,June
N101,2021-06-26T00:00:00.000Z,North,Retail,Breaking system,1,10.35,10.35,Credit card,0.03,2021-06-26,2021,06,26,June
N102,2021-06-26T00:00:00.000Z,North,Retail,Electrical system,7,25.28,176.97,Cash,0,2021-06-26,2021,06,26,June
N103,2021-06-27T00:00:00.000Z,North,Retail,Engine,8,59.7,477.63,Credit card,0.03,2021-06-27,2021,06,27,June
N104,2021-06-27T00:00:00.000Z,North,Retail,Electrical system,1,28.88,28.88,Credit card,0.03,2021-06-27,2021,06,27,June
N105,2021-06-27T00:00:00.000Z,North,Retail,Frame & body,5,38.71,193.54,Cash,0,2021-06-27,2021,06,27,June
N106,2021-06-27T00:00:00.000Z,North,Retail,Breaking system,7,17.38,121.66,Credit card,0.03,2021-06-27,2021,06,27,June
N107,2021-06-27T00:00:00.000Z,North,Retail,Miscellaneous,6,26.95,161.71,Credit card,0.03,2021-06-27,2021,06,27,June
N108,2021-06-27T00:00:00.000Z,North,Retail,Suspension & traction,2,27,54.01,Credit card,0.03,2021-06-27,2021,06,27,June
N109,2021-06-28T00:00:00.000Z,North,Retail,Miscellaneous,7,15.26,106.79,Credit card,0.03,2021-06-28,2021,06,28,June
N110,2021-06-28T00:00:00.000Z,North,Retail,Suspension & traction,8,29.03,232.24,Credit card,0.03,2021-06-28,2021,06,28,June
N111,2021-06-29T00:00:00.000Z,North,Retail,Frame & body,4,37,148.01,Credit card,0.03,2021-06-29,2021,06,29,June
N112,2021-06-29T00:00:00.000Z,North,Retail,Breaking system,9,22.21,199.86,Credit card,0.03,2021-06-29,2021,06,29,June
N113,2021-06-29T00:00:00.000Z,North,Wholesale,Frame & body,20,37.99,759.77,Transfer,0.01,2021-06-29,2021,06,29,June
N114,2021-06-29T00:00:00.000Z,North,Wholesale,Suspension & traction,20,39.56,791.23,Transfer,0.01,2021-06-29,2021,06,29,June
N115,2021-06-29T00:00:00.000Z,North,Retail,Electrical system,1,23.1,23.1,Credit card,0.03,2021-06-29,2021,06,29,June
N116,2021-06-30T00:00:00.000Z,North,Wholesale,Suspension & traction,12,40.63,487.56,Transfer,0.01,2021-06-30,2021,06,30,June
N117,2021-07-01T00:00:00.000Z,North,Retail,Suspension & traction,1,36.06,36.06,Credit card,0.03,2021-07-01,2021,07,01,July
N118,2021-07-01T00:00:00.000Z,North,Wholesale,Suspension & traction,16,28.46,455.39,Transfer,0.01,2021-07-01,2021,07,01,July
N119,2021-07-01T00:00:00.000Z,North,Retail,Breaking system,8,16.89,135.12,Cash,0,2021-07-01,2021,07,01,July
N120,2021-07-02T00:00:00.000Z,North,Wholesale,Frame & body,28,44.92,1257.76,Transfer,0.01,2021-07-02,2021,07,02,July
N121,2021-07-02T00:00:00.000Z,North,Retail,Miscellaneous,5,15.7,78.53,Credit card,0.03,2021-07-02,2021,07,02,July
N122,2021-07-02T00:00:00.000Z,North,Wholesale,Engine,16,62.95,1007.15,Transfer,0.01,2021-07-02,2021,07,02,July
N123,2021-07-03T00:00:00.000Z,North,Wholesale,Breaking system,40,15.52,620.87,Transfer,0.01,2021-07-03,2021,07,03,July
N124,2021-07-03T00:00:00.000Z,North,Wholesale,Frame & body,32,41.92,1341.44,Transfer,0.01,2021-07-03,2021,07,03,July
N125,2021-07-03T00:00:00.000Z,North,Retail,Miscellaneous,10,15.16,151.6,Cash,0,2021-07-03,2021,07,03,July
N126,2021-07-03T00:00:00.000Z,North,Retail,Engine,1,53.06,53.06,Credit card,0.03,2021-07-03,2021,07,03,July
N127,2021-07-04T00:00:00.000Z,North,Retail,Breaking system,10,19.58,195.75,Cash,0,2021-07-04,2021,07,04,July
N128,2021-07-04T00:00:00.000Z,North,Retail,Miscellaneous,5,17.88,89.4,Credit card,0.03,2021-07-04,2021,07,04,July
N129,2021-07-04T00:00:00.000Z,North,Retail,Suspension & traction,10,37.13,371.3,Credit card,0.03,2021-07-04,2021,07,04,July
N130,2021-07-04T00:00:00.000Z,North,Retail,Suspension & traction,7,40.81,285.69,Credit card,0.03,2021-07-04,2021,07,04,July
N131,2021-07-04T00:00:00.000Z,North,Retail,Breaking system,5,21.17,105.85,Credit card,0.03,2021-07-04,2021,07,04,July
N132,2021-07-05T00:00:00.000Z,North,Wholesale,Electrical system,28,20.87,584.36,Transfer,0.01,2021-07-05,2021,07,05,July
N133,2021-07-05T00:00:00.000Z,North,Retail,Breaking system,4,16.44,65.75,Credit card,0.03,2021-07-05,2021,07,05,July
N134,2021-07-05T00:00:00.000Z,North,Retail,Electrical system,7,29.1,203.68,Credit card,0.03,2021-07-05,2021,07,05,July
N135,2021-07-05T00:00:00.000Z,North,Retail,Frame & body,5,40.51,202.55,Credit card,0.03,2021-07-05,2021,07,05,July
N136,2021-07-05T00:00:00.000Z,North,Wholesale,Suspension & traction,4,36.99,147.97,Transfer,0.01,2021-07-05,2021,07,05,July
N137,2021-07-06T00:00:00.000Z,North,Wholesale,Suspension & traction,8,28.48,227.85,Transfer,0.01,2021-07-06,2021,07,06,July
N138,2021-07-06T00:00:00.000Z,North,Retail,Breaking system,1,13.44,13.44,Credit card,0.03,2021-07-06,2021,07,06,July
N139,2021-07-06T00:00:00.000Z,North,Retail,Miscellaneous,1,27.98,27.98,Credit card,0.03,2021-07-06,2021,07,06,July
N140,2021-07-06T00:00:00.000Z,North,Retail,Frame & body,3,45.87,137.6,Cash,0,2021-07-06,2021,07,06,July
N141,2021-07-06T00:00:00.000Z,North,Retail,Suspension & traction,6,29.32,175.91,Credit card,0.03,2021-07-06,2021,07,06,July
N142,2021-07-07T00:00:00.000Z,North,Retail,Engine,5,55.95,279.73,Credit card,0.03,2021-07-07,2021,07,07,July
N143,2021-07-07T00:00:00.000Z,North,Wholesale,Suspension & traction,24,31.24,749.76,Transfer,0.01,2021-07-07,2021,07,07,July
N144,2021-07-08T00:00:00.000Z,North,Retail,Frame & body,1,40.93,40.93,Credit card,0.03,2021-07-08,2021,07,08,July
N145,2021-07-08T00:00:00.000Z,North,Retail,Suspension & traction,8,40.52,324.16,Cash,0,2021-07-08,2021,07,08,July
N146,2021-07-08T00:00:00.000Z,North,Retail,Engine,8,64.93,519.47,Credit card,0.03,2021-07-08,2021,07,08,July
N147,2021-07-08T00:00:00.000Z,North,Retail,Miscellaneous,10,20.53,205.32,Credit card,0.03,2021-07-08,2021,07,08,July
N148,2021-07-08T00:00:00.000Z,North,Retail,Suspension & traction,1,29.83,29.83,Credit card,0.03,2021-07-08,2021,07,08,July
N149,2021-07-09T00:00:00.000Z,North,Retail,Breaking system,1,11.62,11.62,Cash,0,2021-07-09,2021,07,09,July
N150,2021-07-09T00:00:00.000Z,North,Retail,Frame & body,7,47.72,334.03,Credit card,0.03,2021-07-09,2021,07,09,July
N151,2021-07-09T00:00:00.000Z,North,Retail,Breaking system,10,24.83,248.3,Credit card,0.03,2021-07-09,2021,07,09,July
N152,2021-07-10T00:00:00.000Z,North,Retail,Breaking system,1,13.64,13.64,Credit card,0.03,2021-07-10,2021,07,10,July
N153,2021-07-10T00:00:00.000Z,North,Wholesale,Miscellaneous,36,19.17,690.24,Transfer,0.01,2021-07-10,2021,07,10,July
N154,2021-07-10T00:00:00.000Z,North,Wholesale,Frame & body,40,37.04,1481.6,Transfer,0.01,2021-07-10,2021,07,10,July
N155,2021-07-11T00:00:00.000Z,North,Retail,Breaking system,7,17.28,120.93,Cash,0,2021-07-11,2021,07,11,July
N156,2021-07-11T00:00:00.000Z,North,Retail,Miscellaneous,5,20.76,103.82,Credit card,0.03,2021-07-11,2021,07,11,July
N157,2021-07-11T00:00:00.000Z,North,Retail,Suspension & traction,1,37.34,37.34,Credit card,0.03,2021-07-11,2021,07,11,July
N158,2021-07-11T00:00:00.000Z,North,Wholesale,Breaking system,40,13.36,534.27,Transfer,0.01,2021-07-11,2021,07,11,July
N159,2021-07-12T00:00:00.000Z,North,Retail,Suspension & traction,3,38.35,115.04,Credit card,0.03,2021-07-12,2021,07,12,July
N160,2021-07-12T00:00:00.000Z,North,Retail,Frame & body,4,49.13,196.51,Credit card,0.03,2021-07-12,2021,07,12,July
N161,2021-07-13T00:00:00.000Z,North,Retail,Electrical system,5,24.49,122.46,Credit card,0.03,2021-07-13,2021,07,13,July
N162,2021-07-13T00:00:00.000Z,North,Retail,Electrical system,6,20.9,125.43,Credit card,0.03,2021-07-13,2021,07,13,July
N163,2021-07-13T00:00:00.000Z,North,Retail,Frame & body,2,45.27,90.54,Credit card,0.03,2021-07-13,2021,07,13,July
N164,2021-07-14T00:00:00.000Z,North,Retail,Suspension & traction,4,30.38,121.5,Credit card,0.03,2021-07-14,2021,07,14,July
N165,2021-07-14T00:00:00.000Z,North,Retail,Electrical system,1,29.47,29.47,Cash,0,2021-07-14,2021,07,14,July
N166,2021-07-15T00:00:00.000Z,North,Retail,Frame & body,3,40.78,122.32,Credit card,0.03,2021-07-15,2021,07,15,July
N167,2021-07-15T00:00:00.000Z,North,Retail,Suspension & traction,8,41.59,332.75,Credit card,0.03,2021-07-15,2021,07,15,July
N168,2021-07-15T00:00:00.000Z,North,Retail,Electrical system,1,31.88,31.88,Credit card,0.03,2021-07-15,2021,07,15,July
N169,2021-07-16T00:00:00.000Z,North,Retail,Miscellaneous,3,24.52,73.55,Credit card,0.03,2021-07-16,2021,07,16,July
N170,2021-07-16T00:00:00.000Z,North,Retail,Suspension & traction,8,36.66,293.28,Credit card,0.03,2021-07-16,2021,07,16,July
N171,2021-07-16T00:00:00.000Z,North,Retail,Breaking system,3,16.99,50.97,Credit card,0.03,2021-07-16,2021,07,16,July
N172,2021-07-16T00:00:00.000Z,North,Retail,Breaking system,3,17.03,51.1,Credit card,0.03,2021-07-16,2021,07,16,July
N173,2021-07-16T00:00:00.000Z,North,Retail,Electrical system,6,19.21,115.26,Credit card,0.03,2021-07-16,2021,07,16,July
N174,2021-07-17T00:00:00.000Z,North,Retail,Miscellaneous,7,17.47,122.29,Credit card,0.03,2021-07-17,2021,07,17,July
N175,2021-07-18T00:00:00.000Z,North,Retail,Suspension & traction,8,39.8,318.39,Credit card,0.03,2021-07-18,2021,07,18,July
N176,2021-07-18T00:00:00.000Z,North,Retail,Breaking system,3,15.9,47.69,Credit card,0.03,2021-07-18,2021,07,18,July
N177,2021-07-18T00:00:00.000Z,North,Retail,Electrical system,5,22.43,112.13,Credit card,0.03,2021-07-18,2021,07,18,July
N178,2021-07-18T00:00:00.000Z,North,Retail,Frame & body,9,49.68,447.14,Credit card,0.03,2021-07-18,2021,07,18,July
N179,2021-07-18T00:00:00.000Z,North,Wholesale,Breaking system,32,21.83,698.45,Transfer,0.01,2021-07-18,2021,07,18,July
N180,2021-07-18T00:00:00.000Z,North,Retail,Electrical system,3,32.02,96.04,Credit card,0.03,2021-07-18,2021,07,18,July
N181,2021-07-18T00:00:00.000Z,North,Retail,Breaking system,3,13.82,41.45,Cash,0,2021-07-18,2021,07,18,July
N182,2021-07-19T00:00:00.000Z,North,Wholesale,Suspension & traction,24,30.74,737.68,Transfer,0.01,2021-07-19,2021,07,19,July
N183,2021-07-19T00:00:00.000Z,North,Wholesale,Breaking system,28,23.06,645.59,Transfer,0.01,2021-07-19,2021,07,19,July
N184,2021-07-19T00:00:00.000Z,North,Wholesale,Electrical system,4,27.08,108.32,Transfer,0.01,2021-07-19,2021,07,19,July
N185,2021-07-20T00:00:00.000Z,North,Retail,Breaking system,2,24.75,49.49,Credit card,0.03,2021-07-20,2021,07,20,July
N186,2021-07-20T00:00:00.000Z,North,Wholesale,Miscellaneous,36,29.78,1071.96,Transfer,0.01,2021-07-20,2021,07,20,July
N187,2021-07-20T00:00:00.000Z,North,Wholesale,Electrical system,36,28.26,1017.48,Transfer,0.01,2021-07-20,2021,07,20,July
N188,2021-07-20T00:00:00.000Z,North,Retail,Engine,5,58.46,292.33,Credit card,0.03,2021-07-20,2021,07,20,July
N189,2021-07-21T00:00:00.000Z,North,Retail,Miscellaneous,5,28.72,143.58,Credit card,0.03,2021-07-21,2021,07,21,July
N190,2021-07-21T00:00:00.000Z,North,Retail,Suspension & traction,2,31.28,62.56,Credit card,0.03,2021-07-21,2021,07,21,July
N191,2021-07-21T00:00:00.000Z,North,Retail,Engine,10,55.39,553.87,Credit card,0.03,2021-07-21,2021,07,21,July
N192,2021-07-22T00:00:00.000Z,North,Retail,Electrical system,3,32.44,97.32,Credit card,0.03,2021-07-22,2021,07,22,July
N193,2021-07-23T00:00:00.000Z,North,Retail,Suspension & traction,10,27.9,279.03,Credit card,0.03,2021-07-23,2021,07,23,July
N194,2021-07-23T00:00:00.000Z,North,Retail,Suspension & traction,1,35.97,35.97,Credit card,0.03,2021-07-23,2021,07,23,July
N195,2021-07-23T00:00:00.000Z,North,Wholesale,Frame & body,40,37.42,1496.6,Transfer,0.01,2021-07-23,2021,07,23,July
N196,2021-07-24T00:00:00.000Z,North,Retail,Miscellaneous,4,25.58,102.31,Credit card,0.03,2021-07-24,2021,07,24,July
N197,2021-07-25T00:00:00.000Z,North,Retail,Suspension & traction,10,31.71,317.1,Credit card,0.03,2021-07-25,2021,07,25,July
N198,2021-07-25T00:00:00.000Z,North,Wholesale,Suspension & traction,8,32.95,263.57,Transfer,0.01,2021-07-25,2021,07,25,July
N199,2021-07-26T00:00:00.000Z,North,Retail,Miscellaneous,3,29.93,89.8,Credit card,0.03,2021-07-26,2021,07,26,July
N200,2021-07-26T00:00:00.000Z,North,Retail,Electrical system,6,28.14,168.84,Credit card,0.03,2021-07-26,2021,07,26,July
N201,2021-07-26T00:00:00.000Z,North,Retail,Frame & body,5,48.57,242.84,Credit card,0.03,2021-07-26,2021,07,26,July
N202,2021-07-26T00:00:00.000Z,North,Retail,Frame & body,1,43.95,43.95,Credit card,0.03,2021-07-26,2021,07,26,July
N203,2021-07-26T00:00:00.000Z,North,Retail,Breaking system,4,20.51,82.03,Credit card,0.03,2021-07-26,2021,07,26,July
N204,2021-07-26T00:00:00.000Z,North,Retail,Electrical system,3,27.53,82.59,Credit card,0.03,2021-07-26,2021,07,26,July
N205,2021-07-27T00:00:00.000Z,North,Retail,Electrical system,2,24.44,48.87,Cash,0,2021-07-27,2021,07,27,July
